title,body,rating,clean_title,clean_body,review_text,title_cleaned,body_cleaned,final_review_text,sentiment,title_tokens,body_tokens,review_tokens,title_tokens_cleaned,body_tokens_cleaned,review_tokens_cleaned,title_tokens_lemmatized,body_tokens_lemmatized,review_tokens_lemmatized,title_text_lemmatized,body_text_lemmatized,review_text_lemmatized,review_length,repeated_text,multilingual_type
Horrible product,Very disappointed with the overall performance from Samsung,1,horrible product,very disappointed with the overall performance from samsung,horrible product very disappointed with the overall performance from samsung,horrible product,very disappointed with the overall performance from samsung,horrible product very disappointed with the overall performance from samsung,negative,"['horrible', 'product']","['very', 'disappointed', 'with', 'the', 'overall', 'performance', 'from', 'samsung']","['horrible', 'product', 'very', 'disappointed', 'with', 'the', 'overall', 'performance', 'from', 'samsung']","['horrible', 'product']","['disappointed', 'overall', 'performance', 'samsung']","['horrible', 'product', 'disappointed', 'overall', 'performance', 'samsung']","['horrible', 'product']","['disappointed', 'overall', 'performance', 'samsung']","['horrible', 'product', 'disappointed', 'overall', 'performance', 'samsung']",horrible product,disappointed overall performance samsung,horrible product disappointed overall performance samsung,6,Normal,Single
Camera quality is not like 48 megapixel,Camera quality is low,3,camera quality is not like 48 megapixel,camera quality is low,camera quality is not like 48 megapixel camera quality is low,camera quality is not like 48 megapixel,camera quality is low,camera quality is not like 48 megapixel camera quality is low,neutral,"['camera', 'quality', 'is', 'not', 'like', '48', 'megapixel']","['camera', 'quality', 'is', 'low']","['camera', 'quality', 'is', 'not', 'like', '48', 'megapixel', 'camera', 'quality', 'is', 'low']","['camera', 'quality', 'not', 'like', '48', 'megapixel']","['camera', 'quality', 'low']","['camera', 'quality', 'not', 'like', '48', 'megapixel', 'camera', 'quality', 'low']","['camera', 'quality', 'not', 'like', '48', 'megapixel']","['camera', 'quality', 'low']","['camera', 'quality', 'not', 'like', '48', 'megapixel', 'camera', 'quality', 'low']",camera quality not like 48 megapixel,camera quality low,camera quality not like 48 megapixel camera quality low,9,Normal,Single
Overall,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",4,overall,got the mobile on the launch date battery must be appreciatedcamera is just averagemobile performance is above average90hz refresh rate if u r buying the mobile for this feature then i m afraid u may get disappointed it s just normal the usb cable is too small in lengthit s a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,overall got the mobile on the launch date battery must be appreciatedcamera is just averagemobile performance is above average90hz refresh rate if u r buying the mobile for this feature then i m afraid u may get disappointed it s just normal the usb cable is too small in lengthit s a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,overall,got the mobile on the launch date battery must be appreciatedcamera is just averagemobile performance is above average90hz refresh rate if u r buying the mobile for this feature then i m afraid u may get disappointed it s just normal the usb cable is too small in lengthit s a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,overall got the mobile on the launch date battery must be appreciatedcamera is just averagemobile performance is above average90hz refresh rate if u r buying the mobile for this feature then i m afraid u may get disappointed it s just normal the usb cable is too small in lengthit s a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,positive,['overall'],"['got', 'the', 'mobile', 'on', 'the', 'launch', 'date', 'battery', 'must', 'be', 'appreciatedcamera', 'is', 'just', 'averagemobile', 'performance', 'is', 'above', 'average90hz', 'refresh', 'rate', 'if', 'u', 'r', 'buying', 'the', 'mobile', 'for', 'this', 'feature', 'then', 'i', 'm', 'afraid', 'u', 'may', 'get', 'disappointed', 'it', 's', 'just', 'normal', 'the', 'usb', 'cable', 'is', 'too', 'small', 'in', 'lengthit', 's', 'a', 'good', 'mobile', 'in', 'this', 'budget', 'there', 'are', 'no', 'returns', 'for', 'this', 'only', 'replacement', 'is', 'available', 'hence', 'choose', 'wisely', 'before', 'buying']","['overall', 'got', 'the', 'mobile', 'on', 'the', 'launch', 'date', 'battery', 'must', 'be', 'appreciatedcamera', 'is', 'just', 'averagemobile', 'performance', 'is', 'above', 'average90hz', 'refresh', 'rate', 'if', 'u', 'r', 'buying', 'the', 'mobile', 'for', 'this', 'feature', 'then', 'i', 'm', 'afraid', 'u', 'may', 'get', 'disappointed', 'it', 's', 'just', 'normal', 'the', 'usb', 'cable', 'is', 'too', 'small', 'in', 'lengthit', 's', 'a', 'good', 'mobile', 'in', 'this', 'budget', 'there', 'are', 'no', 'returns', 'for', 'this', 'only', 'replacement', 'is', 'available', 'hence', 'choose', 'wisely', 'before', 'buying']",['overall'],"['got', 'mobile', 'launch', 'date', 'battery', 'must', 'appreciatedcamera', 'averagemobile', 'performance', 'average90hz', 'refresh', 'rate', 'u', 'r', 'buying', 'mobile', 'feature', 'afraid', 'u', 'may', 'get', 'disappointed', 'normal', 'usb', 'cable', 'small', 'lengthit', 'good', 'mobile', 'budget', 'no', 'returns', 'replacement', 'available', 'hence', 'choose', 'wisely', 'buying']","['overall', 'got', 'mobile', 'launch', 'date', 'battery', 'must', 'appreciatedcamera', 'averagemobile', 'performance', 'average90hz', 'refresh', 'rate', 'u', 'r', 'buying', 'mobile', 'feature', 'afraid', 'u', 'may', 'get', 'disappointed', 'normal', 'usb', 'cable', 'small', 'lengthit', 'good', 'mobile', 'budget', 'no', 'returns', 'replacement', 'available', 'hence', 'choose', 'wisely', 'buying']",['overall'],"['got', 'mobile', 'launch', 'date', 'battery', 'must', 'appreciatedcamera', 'averagemobile', 'performance', 'average90hz', 'refresh', 'rate', 'u', 'r', 'buying', 'mobile', 'feature', 'afraid', 'u', 'may', 'get', 'disappointed', 'normal', 'usb', 'cable', 'small', 'lengthit', 'good', 'mobile', 'budget', 'no', 'return', 'replacement', 'available', 'hence', 'choose', 'wisely', 'buying']","['overall', 'got', 'mobile', 'launch', 'date', 'battery', 'must', 'appreciatedcamera', 'averagemobile', 'performance', 'average90hz', 'refresh', 'rate', 'u', 'r', 'buying', 'mobile', 'feature', 'afraid', 'u', 'may', 'get', 'disappointed', 'normal', 'usb', 'cable', 'small', 'lengthit', 'good', 'mobile', 'budget', 'no', 'return', 'replacement', 'available', 'hence', 'choose', 'wisely', 'buying']",overall,got mobile launch date battery must appreciatedcamera averagemobile performance average90hz refresh rate u r buying mobile feature afraid u may get disappointed normal usb cable small lengthit good mobile budget no return replacement available hence choose wisely buying,overall got mobile launch date battery must appreciatedcamera averagemobile performance average90hz refresh rate u r buying mobile feature afraid u may get disappointed normal usb cable small lengthit good mobile budget no return replacement available hence choose wisely buying,39,Normal,Single
A big no from me,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",1,a big no from me,1 it doesn t work with 5 0ghz wifi frequency 2 4ghz is very old school 2 camera quality is pathetic both front and back forget about 48mp pictures are all blur poorer than a 4mp one 3 amazon didn t allow to write a review until they sold most of the stock something very fishy 4 no return policy you will have to live with the phone you didn t like now you decide,a big no from me 1 it doesn t work with 5 0ghz wifi frequency 2 4ghz is very old school 2 camera quality is pathetic both front and back forget about 48mp pictures are all blur poorer than a 4mp one 3 amazon didn t allow to write a review until they sold most of the stock something very fishy 4 no return policy you will have to live with the phone you didn t like now you decide,a big no from me,1 it doesn t work with 5 0ghz wifi frequency 2 4ghz is very old school 2 camera quality is pathetic both front and back forget about 48mp pictures are all blur poorer than a 4mp one 3 amazon didn t allow to write a review until they sold most of the stock something very fishy 4 no return policy you will have to live with the phone you didn t like now you decide,a big no from me 1 it doesn t work with 5 0ghz wifi frequency 2 4ghz is very old school 2 camera quality is pathetic both front and back forget about 48mp pictures are all blur poorer than a 4mp one 3 amazon didn t allow to write a review until they sold most of the stock something very fishy 4 no return policy you will have to live with the phone you didn t like now you decide,negative,"['a', 'big', 'no', 'from', 'me']","['1', 'it', 'doesn', 't', 'work', 'with', '5', '0ghz', 'wifi', 'frequency', '2', '4ghz', 'is', 'very', 'old', 'school', '2', 'camera', 'quality', 'is', 'pathetic', 'both', 'front', 'and', 'back', 'forget', 'about', '48mp', 'pictures', 'are', 'all', 'blur', 'poorer', 'than', 'a', '4mp', 'one', '3', 'amazon', 'didn', 't', 'allow', 'to', 'write', 'a', 'review', 'until', 'they', 'sold', 'most', 'of', 'the', 'stock', 'something', 'very', 'fishy', '4', 'no', 'return', 'policy', 'you', 'will', 'have', 'to', 'live', 'with', 'the', 'phone', 'you', 'didn', 't', 'like', 'now', 'you', 'decide']","['a', 'big', 'no', 'from', 'me', '1', 'it', 'doesn', 't', 'work', 'with', '5', '0ghz', 'wifi', 'frequency', '2', '4ghz', 'is', 'very', 'old', 'school', '2', 'camera', 'quality', 'is', 'pathetic', 'both', 'front', 'and', 'back', 'forget', 'about', '48mp', 'pictures', 'are', 'all', 'blur', 'poorer', 'than', 'a', '4mp', 'one', '3', 'amazon', 'didn', 't', 'allow', 'to', 'write', 'a', 'review', 'until', 'they', 'sold', 'most', 'of', 'the', 'stock', 'something', 'very', 'fishy', '4', 'no', 'return', 'policy', 'you', 'will', 'have', 'to', 'live', 'with', 'the', 'phone', 'you', 'didn', 't', 'like', 'now', 'you', 'decide']","['big', 'no']","['1', 'work', '5', '0ghz', 'wifi', 'frequency', '2', '4ghz', 'old', 'school', '2', 'camera', 'quality', 'pathetic', 'front', 'back', 'forget', '48mp', 'pictures', 'blur', 'poorer', '4mp', 'one', '3', 'amazon', 'allow', 'write', 'review', 'sold', 'stock', 'something', 'fishy', '4', 'no', 'return', 'policy', 'live', 'phone', 'like', 'decide']","['big', 'no', '1', 'work', '5', '0ghz', 'wifi', 'frequency', '2', '4ghz', 'old', 'school', '2', 'camera', 'quality', 'pathetic', 'front', 'back', 'forget', '48mp', 'pictures', 'blur', 'poorer', '4mp', 'one', '3', 'amazon', 'allow', 'write', 'review', 'sold', 'stock', 'something', 'fishy', '4', 'no', 'return', 'policy', 'live', 'phone', 'like', 'decide']","['big', 'no']","['1', 'work', '5', '0ghz', 'wifi', 'frequency', '2', '4ghz', 'old', 'school', '2', 'camera', 'quality', 'pathetic', 'front', 'back', 'forget', '48mp', 'picture', 'blur', 'poorer', '4mp', 'one', '3', 'amazon', 'allow', 'write', 'review', 'sold', 'stock', 'something', 'fishy', '4', 'no', 'return', 'policy', 'live', 'phone', 'like', 'decide']","['big', 'no', '1', 'work', '5', '0ghz', 'wifi', 'frequency', '2', '4ghz', 'old', 'school', '2', 'camera', 'quality', 'pathetic', 'front', 'back', 'forget', '48mp', 'picture', 'blur', 'poorer', '4mp', 'one', '3', 'amazon', 'allow', 'write', 'review', 'sold', 'stock', 'something', 'fishy', '4', 'no', 'return', 'policy', 'live', 'phone', 'like', 'decide']",big no,1 work 5 0ghz wifi frequency 2 4ghz old school 2 camera quality pathetic front back forget 48mp picture blur poorer 4mp one 3 amazon allow write review sold stock something fishy 4 no return policy live phone like decide,big no 1 work 5 0ghz wifi frequency 2 4ghz old school 2 camera quality pathetic front back forget 48mp picture blur poorer 4mp one 3 amazon allow write review sold stock something fishy 4 no return policy live phone like decide,42,Normal,Single
Put your money somewhere else,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",1,put your money somewhere else,not worth buying faulty software poor display quality single band wifi doesn t support 5ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,put your money somewhere else not worth buying faulty software poor display quality single band wifi doesn t support 5ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,put your money somewhere else,not worth buying faulty software poor display quality single band wifi doesn t support 5ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,put your money somewhere else not worth buying faulty software poor display quality single band wifi doesn t support 5ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,negative,"['put', 'your', 'money', 'somewhere', 'else']","['not', 'worth', 'buying', 'faulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'doesn', 't', 'support', '5ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'and', 'many', 'more', 'dont', 'go', 'by', 'paid', 'reviews', 'in', 'you', 'tube']","['put', 'your', 'money', 'somewhere', 'else', 'not', 'worth', 'buying', 'faulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'doesn', 't', 'support', '5ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'and', 'many', 'more', 'dont', 'go', 'by', 'paid', 'reviews', 'in', 'you', 'tube']","['put', 'money', 'somewhere', 'else']","['not', 'worth', 'buying', 'faulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'support', '5ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'many', 'dont', 'go', 'paid', 'reviews', 'tube']","['put', 'money', 'somewhere', 'else', 'not', 'worth', 'buying', 'faulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'support', '5ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'many', 'dont', 'go', 'paid', 'reviews', 'tube']","['put', 'money', 'somewhere', 'else']","['not', 'worth', 'buying', 'faulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'support', '5ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'many', 'dont', 'go', 'paid', 'review', 'tube']","['put', 'money', 'somewhere', 'else', 'not', 'worth', 'buying', 'faulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'support', '5ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'many', 'dont', 'go', 'paid', 'review', 'tube']",put money somewhere else,not worth buying faulty software poor display quality single band wifi support 5ghz wifi band gyro sensor missing many dont go paid review tube,put money somewhere else not worth buying faulty software poor display quality single band wifi support 5ghz wifi band gyro sensor missing many dont go paid review tube,28,Normal,Single
Too much lagging and slow,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,1,too much lagging and slow,i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,too much lagging and slow i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,too much lagging and slow,i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,too much lagging and slow i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,negative,"['too', 'much', 'lagging', 'and', 'slow']","['i', 'will', 'never', 'purchase', 'samsung', 'phones', 'phone', 'is', 'lagging', 'too', 'much', 'and', 'slow', 'waste', 'of', 'hard', 'earning', 'money']","['too', 'much', 'lagging', 'and', 'slow', 'i', 'will', 'never', 'purchase', 'samsung', 'phones', 'phone', 'is', 'lagging', 'too', 'much', 'and', 'slow', 'waste', 'of', 'hard', 'earning', 'money']","['much', 'lagging', 'slow']","['never', 'purchase', 'samsung', 'phones', 'phone', 'lagging', 'much', 'slow', 'waste', 'hard', 'earning', 'money']","['much', 'lagging', 'slow', 'never', 'purchase', 'samsung', 'phones', 'phone', 'lagging', 'much', 'slow', 'waste', 'hard', 'earning', 'money']","['much', 'lagging', 'slow']","['never', 'purchase', 'samsung', 'phone', 'phone', 'lagging', 'much', 'slow', 'waste', 'hard', 'earning', 'money']","['much', 'lagging', 'slow', 'never', 'purchase', 'samsung', 'phone', 'phone', 'lagging', 'much', 'slow', 'waste', 'hard', 'earning', 'money']",much lagging slow,never purchase samsung phone phone lagging much slow waste hard earning money,much lagging slow never purchase samsung phone phone lagging much slow waste hard earning money,15,Normal,Single
Worst samsung mobile ever,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,1,worst samsung mobile ever,this is worst samsung mobile i have seen from samsung it s sceen quality and colors are trash even a old 5000 rs phone can beat it s quality please never ever buy this product,worst samsung mobile ever this is worst samsung mobile i have seen from samsung it s sceen quality and colors are trash even a old 5000 rs phone can beat it s quality please never ever buy this product,worst samsung mobile ever,this is worst samsung mobile i have seen from samsung it s sceen quality and colors are trash even a old 5000 rs phone can beat it s quality please never ever buy this product,worst samsung mobile ever this is worst samsung mobile i have seen from samsung it s sceen quality and colors are trash even a old 5000 rs phone can beat it s quality please never ever buy this product,negative,"['worst', 'samsung', 'mobile', 'ever']","['this', 'is', 'worst', 'samsung', 'mobile', 'i', 'have', 'seen', 'from', 'samsung', 'it', 's', 'sceen', 'quality', 'and', 'colors', 'are', 'trash', 'even', 'a', 'old', '5000', 'rs', 'phone', 'can', 'beat', 'it', 's', 'quality', 'please', 'never', 'ever', 'buy', 'this', 'product']","['worst', 'samsung', 'mobile', 'ever', 'this', 'is', 'worst', 'samsung', 'mobile', 'i', 'have', 'seen', 'from', 'samsung', 'it', 's', 'sceen', 'quality', 'and', 'colors', 'are', 'trash', 'even', 'a', 'old', '5000', 'rs', 'phone', 'can', 'beat', 'it', 's', 'quality', 'please', 'never', 'ever', 'buy', 'this', 'product']","['worst', 'samsung', 'mobile', 'ever']","['worst', 'samsung', 'mobile', 'seen', 'samsung', 'sceen', 'quality', 'colors', 'trash', 'even', 'old', '5000', 'rs', 'phone', 'beat', 'quality', 'please', 'never', 'ever', 'buy', 'product']","['worst', 'samsung', 'mobile', 'ever', 'worst', 'samsung', 'mobile', 'seen', 'samsung', 'sceen', 'quality', 'colors', 'trash', 'even', 'old', '5000', 'rs', 'phone', 'beat', 'quality', 'please', 'never', 'ever', 'buy', 'product']","['worst', 'samsung', 'mobile', 'ever']","['worst', 'samsung', 'mobile', 'seen', 'samsung', 'sceen', 'quality', 'color', 'trash', 'even', 'old', '5000', 'r', 'phone', 'beat', 'quality', 'please', 'never', 'ever', 'buy', 'product']","['worst', 'samsung', 'mobile', 'ever', 'worst', 'samsung', 'mobile', 'seen', 'samsung', 'sceen', 'quality', 'color', 'trash', 'even', 'old', '5000', 'r', 'phone', 'beat', 'quality', 'please', 'never', 'ever', 'buy', 'product']",worst samsung mobile ever,worst samsung mobile seen samsung sceen quality color trash even old 5000 r phone beat quality please never ever buy product,worst samsung mobile ever worst samsung mobile seen samsung sceen quality color trash even old 5000 r phone beat quality please never ever buy product,25,Normal,Single
कैसा दिखाते है उसका 10 % भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,1,कैसा दिखाते है उसका 10 भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका 10 भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका 10 भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका 10 भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,negative,"['कैसा', 'दिखाते', 'है', 'उसका', '10', 'भी', 'नही']","['मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', '48', 'pm', 'बताया', 'और', 'क्लियरिटी', '5', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']","['कैसा', 'दिखाते', 'है', 'उसका', '10', 'भी', 'नही', 'मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', '48', 'pm', 'बताया', 'और', 'क्लियरिटी', '5', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']","['कैसा', 'दिखाते', 'है', 'उसका', '10', 'भी', 'नही']","['मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', '48', 'pm', 'बताया', 'और', 'क्लियरिटी', '5', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']","['कैसा', 'दिखाते', 'है', 'उसका', '10', 'भी', 'नही', 'मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', '48', 'pm', 'बताया', 'और', 'क्लियरिटी', '5', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']","['कैसा', 'दिखाते', 'है', 'उसका', '10', 'भी', 'नही']","['मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', '48', 'pm', 'बताया', 'और', 'क्लियरिटी', '5', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']","['कैसा', 'दिखाते', 'है', 'उसका', '10', 'भी', 'नही', 'मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', '48', 'pm', 'बताया', 'और', 'क्लियरिटी', '5', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']",कैसा दिखाते है उसका 10 भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका 10 भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,36,Normal,Mixed
Slow performance,The phone hangs a lot and is very slow. I received a replacement which continues to hang,1,slow performance,the phone hangs a lot and is very slow i received a replacement which continues to hang,slow performance the phone hangs a lot and is very slow i received a replacement which continues to hang,slow performance,the phone hangs a lot and is very slow i received a replacement which continues to hang,slow performance the phone hangs a lot and is very slow i received a replacement which continues to hang,negative,"['slow', 'performance']","['the', 'phone', 'hangs', 'a', 'lot', 'and', 'is', 'very', 'slow', 'i', 'received', 'a', 'replacement', 'which', 'continues', 'to', 'hang']","['slow', 'performance', 'the', 'phone', 'hangs', 'a', 'lot', 'and', 'is', 'very', 'slow', 'i', 'received', 'a', 'replacement', 'which', 'continues', 'to', 'hang']","['slow', 'performance']","['phone', 'hangs', 'lot', 'slow', 'received', 'replacement', 'continues', 'hang']","['slow', 'performance', 'phone', 'hangs', 'lot', 'slow', 'received', 'replacement', 'continues', 'hang']","['slow', 'performance']","['phone', 'hang', 'lot', 'slow', 'received', 'replacement', 'continues', 'hang']","['slow', 'performance', 'phone', 'hang', 'lot', 'slow', 'received', 'replacement', 'continues', 'hang']",slow performance,phone hang lot slow received replacement continues hang,slow performance phone hang lot slow received replacement continues hang,10,Normal,Single
Don’t buy from Amazon.,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,1,don t buy from amazon,very poor quality camera found box seal damage still amazon not taking it back waste of money phone very slow don t buy from amazon now amazon started cheating customers to make profits,don t buy from amazon very poor quality camera found box seal damage still amazon not taking it back waste of money phone very slow don t buy from amazon now amazon started cheating customers to make profits,don t buy from amazon,very poor quality camera found box seal damage still amazon not taking it back waste of money phone very slow don t buy from amazon now amazon started cheating customers to make profits,don t buy from amazon very poor quality camera found box seal damage still amazon not taking it back waste of money phone very slow don t buy from amazon now amazon started cheating customers to make profits,negative,"['don', 't', 'buy', 'from', 'amazon']","['very', 'poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'it', 'back', 'waste', 'of', 'money', 'phone', 'very', 'slow', 'don', 't', 'buy', 'from', 'amazon', 'now', 'amazon', 'started', 'cheating', 'customers', 'to', 'make', 'profits']","['don', 't', 'buy', 'from', 'amazon', 'very', 'poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'it', 'back', 'waste', 'of', 'money', 'phone', 'very', 'slow', 'don', 't', 'buy', 'from', 'amazon', 'now', 'amazon', 'started', 'cheating', 'customers', 'to', 'make', 'profits']","['buy', 'amazon']","['poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'back', 'waste', 'money', 'phone', 'slow', 'buy', 'amazon', 'amazon', 'started', 'cheating', 'customers', 'make', 'profits']","['buy', 'amazon', 'poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'back', 'waste', 'money', 'phone', 'slow', 'buy', 'amazon', 'amazon', 'started', 'cheating', 'customers', 'make', 'profits']","['buy', 'amazon']","['poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'back', 'waste', 'money', 'phone', 'slow', 'buy', 'amazon', 'amazon', 'started', 'cheating', 'customer', 'make', 'profit']","['buy', 'amazon', 'poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'back', 'waste', 'money', 'phone', 'slow', 'buy', 'amazon', 'amazon', 'started', 'cheating', 'customer', 'make', 'profit']",buy amazon,poor quality camera found box seal damage still amazon not taking back waste money phone slow buy amazon amazon started cheating customer make profit,buy amazon poor quality camera found box seal damage still amazon not taking back waste money phone slow buy amazon amazon started cheating customer make profit,26,Normal,Single
