title,body,rating,clean_title,clean_body,review_text,title_cleaned,body_cleaned,title_tokens,body_tokens,language,mixed_language,transliteration
Horrible product,Very disappointed with the overall performance from Samsung,1,horrible product,very disappointed with the overall performance from samsung,horrible product very disappointed with the overall performance from samsung,horrible product,very disappointed with the overall performance from samsung,"['horrible', 'product']","['very', 'disappointed', 'with', 'the', 'overall', 'performance', 'from', 'samsung']",en,Single,No
Camera quality is not like 48 megapixel,Camera quality is low,3,camera quality is not like 48 megapixel,camera quality is low,camera quality is not like 48 megapixel camera quality is low,camera quality is not like 48 megapixel,camera quality is low,"['camera', 'quality', 'is', 'not', 'like', '48', 'megapixel']","['camera', 'quality', 'is', 'low']",en,Single,No
Overall,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",4,overall,got the mobile on the launch date battery must be appreciatedcamera is just averagemobile performance is above average90hz refresh rate if u r buying the mobile for this feature then i m afraid u may get disappointed it s just normal the usb cable is too small in lengthit s a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,overall got the mobile on the launch date battery must be appreciatedcamera is just averagemobile performance is above average90hz refresh rate if u r buying the mobile for this feature then i m afraid u may get disappointed it s just normal the usb cable is too small in lengthit s a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,overall,got the mobile on the launch date battery must be appreciatedcamera is just averagemobile performance is above average90hz refresh rate if u r buying the mobile for this feature then i m afraid u may get disappointed it s just normal the usb cable is too small in lengthit s a good mobile in this budget there are no returns for this only replacement is available hence choose wisely before buying,['overall'],"['got', 'the', 'mobile', 'on', 'the', 'launch', 'date', 'battery', 'must', 'be', 'appreciatedcamera', 'is', 'just', 'averagemobile', 'performance', 'is', 'above', 'average90hz', 'refresh', 'rate', 'if', 'u', 'r', 'buying', 'the', 'mobile', 'for', 'this', 'feature', 'then', 'i', 'm', 'afraid', 'u', 'may', 'get', 'disappointed', 'it', 's', 'just', 'normal', 'the', 'usb', 'cable', 'is', 'too', 'small', 'in', 'lengthit', 's', 'a', 'good', 'mobile', 'in', 'this', 'budget', 'there', 'are', 'no', 'returns', 'for', 'this', 'only', 'replacement', 'is', 'available', 'hence', 'choose', 'wisely', 'before', 'buying']",en,Single,No
A big no from me,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",1,a big no from me,1 it doesn t work with 5 0ghz wifi frequency 2 4ghz is very old school 2 camera quality is pathetic both front and back forget about 48mp pictures are all blur poorer than a 4mp one 3 amazon didn t allow to write a review until they sold most of the stock something very fishy 4 no return policy you will have to live with the phone you didn t like now you decide,a big no from me 1 it doesn t work with 5 0ghz wifi frequency 2 4ghz is very old school 2 camera quality is pathetic both front and back forget about 48mp pictures are all blur poorer than a 4mp one 3 amazon didn t allow to write a review until they sold most of the stock something very fishy 4 no return policy you will have to live with the phone you didn t like now you decide,a big no from me,1 it doesn t work with 5 0ghz wifi frequency 2 4ghz is very old school 2 camera quality is pathetic both front and back forget about 48mp pictures are all blur poorer than a 4mp one 3 amazon didn t allow to write a review until they sold most of the stock something very fishy 4 no return policy you will have to live with the phone you didn t like now you decide,"['a', 'big', 'no', 'from', 'me']","['1', 'it', 'doesn', 't', 'work', 'with', '5', '0ghz', 'wifi', 'frequency', '2', '4ghz', 'is', 'very', 'old', 'school', '2', 'camera', 'quality', 'is', 'pathetic', 'both', 'front', 'and', 'back', 'forget', 'about', '48mp', 'pictures', 'are', 'all', 'blur', 'poorer', 'than', 'a', '4mp', 'one', '3', 'amazon', 'didn', 't', 'allow', 'to', 'write', 'a', 'review', 'until', 'they', 'sold', 'most', 'of', 'the', 'stock', 'something', 'very', 'fishy', '4', 'no', 'return', 'policy', 'you', 'will', 'have', 'to', 'live', 'with', 'the', 'phone', 'you', 'didn', 't', 'like', 'now', 'you', 'decide']",en,Single,No
Put your money somewhere else,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",1,put your money somewhere else,not worth buying faulty software poor display quality single band wifi doesn t support 5ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,put your money somewhere else not worth buying faulty software poor display quality single band wifi doesn t support 5ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,put your money somewhere else,not worth buying faulty software poor display quality single band wifi doesn t support 5ghz wifi band gyro sensor missing and many more dont go by paid reviews in you tube,"['put', 'your', 'money', 'somewhere', 'else']","['not', 'worth', 'buying', 'faulty', 'software', 'poor', 'display', 'quality', 'single', 'band', 'wifi', 'doesn', 't', 'support', '5ghz', 'wifi', 'band', 'gyro', 'sensor', 'missing', 'and', 'many', 'more', 'dont', 'go', 'by', 'paid', 'reviews', 'in', 'you', 'tube']",en,Single,No
Too much lagging and slow,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,1,too much lagging and slow,i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,too much lagging and slow i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,too much lagging and slow,i will never purchase samsung phones phone is lagging too much and slow waste of hard earning money,"['too', 'much', 'lagging', 'and', 'slow']","['i', 'will', 'never', 'purchase', 'samsung', 'phones', 'phone', 'is', 'lagging', 'too', 'much', 'and', 'slow', 'waste', 'of', 'hard', 'earning', 'money']",en,Single,No
Worst samsung mobile ever,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,1,worst samsung mobile ever,this is worst samsung mobile i have seen from samsung it s sceen quality and colors are trash even a old 5000 rs phone can beat it s quality please never ever buy this product,worst samsung mobile ever this is worst samsung mobile i have seen from samsung it s sceen quality and colors are trash even a old 5000 rs phone can beat it s quality please never ever buy this product,worst samsung mobile ever,this is worst samsung mobile i have seen from samsung it s sceen quality and colors are trash even a old 5000 rs phone can beat it s quality please never ever buy this product,"['worst', 'samsung', 'mobile', 'ever']","['this', 'is', 'worst', 'samsung', 'mobile', 'i', 'have', 'seen', 'from', 'samsung', 'it', 's', 'sceen', 'quality', 'and', 'colors', 'are', 'trash', 'even', 'a', 'old', '5000', 'rs', 'phone', 'can', 'beat', 'it', 's', 'quality', 'please', 'never', 'ever', 'buy', 'this', 'product']",en,Single,No
कैसा दिखाते है उसका 10 % भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,1,कैसा दिखाते है उसका 10 भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका 10 भी नही मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,कैसा दिखाते है उसका 10 भी नही,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 pm बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,"['कैसा', 'दिखाते', 'है', 'उसका', '10', 'भी', 'नही']","['मोबाइल', 'का', 'कैमरा', 'बिल्कुल', 'भी', 'सही', 'नही', 'है', '48', 'pm', 'बताया', 'और', 'क्लियरिटी', '5', 'मेगा', 'पिक्सल', 'का', 'भी', 'नही', 'है', '।मोबाइल', 'भी', 'पुराना', 'सा', 'दिखता', 'है', '।इसको', 'नही', 'खरीदे']",hi,Single,No
Slow performance,The phone hangs a lot and is very slow. I received a replacement which continues to hang,1,slow performance,the phone hangs a lot and is very slow i received a replacement which continues to hang,slow performance the phone hangs a lot and is very slow i received a replacement which continues to hang,slow performance,the phone hangs a lot and is very slow i received a replacement which continues to hang,"['slow', 'performance']","['the', 'phone', 'hangs', 'a', 'lot', 'and', 'is', 'very', 'slow', 'i', 'received', 'a', 'replacement', 'which', 'continues', 'to', 'hang']",en,Single,No
Don’t buy from Amazon.,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,1,don t buy from amazon,very poor quality camera found box seal damage still amazon not taking it back waste of money phone very slow don t buy from amazon now amazon started cheating customers to make profits,don t buy from amazon very poor quality camera found box seal damage still amazon not taking it back waste of money phone very slow don t buy from amazon now amazon started cheating customers to make profits,don t buy from amazon,very poor quality camera found box seal damage still amazon not taking it back waste of money phone very slow don t buy from amazon now amazon started cheating customers to make profits,"['don', 't', 'buy', 'from', 'amazon']","['very', 'poor', 'quality', 'camera', 'found', 'box', 'seal', 'damage', 'still', 'amazon', 'not', 'taking', 'it', 'back', 'waste', 'of', 'money', 'phone', 'very', 'slow', 'don', 't', 'buy', 'from', 'amazon', 'now', 'amazon', 'started', 'cheating', 'customers', 'to', 'make', 'profits']",en,Single,No
Worst camera quality,"Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",1,worst camera quality,worst camera quality it is like 2 megapixel camera photos are very worst if you slightly zoom the photo you can see blurry previously i used 13 megapixel amera phone those photos are very good,worst camera quality worst camera quality it is like 2 megapixel camera photos are very worst if you slightly zoom the photo you can see blurry previously i used 13 megapixel amera phone those photos are very good,worst camera quality,worst camera quality it is like 2 megapixel camera photos are very worst if you slightly zoom the photo you can see blurry previously i used 13 megapixel amera phone those photos are very good,"['worst', 'camera', 'quality']","['worst', 'camera', 'quality', 'it', 'is', 'like', '2', 'megapixel', 'camera', 'photos', 'are', 'very', 'worst', 'if', 'you', 'slightly', 'zoom', 'the', 'photo', 'you', 'can', 'see', 'blurry', 'previously', 'i', 'used', '13', 'megapixel', 'amera', 'phone', 'those', 'photos', 'are', 'very', 'good']",en,Single,No
No 5Ghz wifi band,"No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",1,no 5ghz wifi band,no 5ghz wifi band on this mobile miserable in 2021 even my previous mobile of samsung which i bought in 2017 have 5ghz wifi it s a big comedy,no 5ghz wifi band no 5ghz wifi band on this mobile miserable in 2021 even my previous mobile of samsung which i bought in 2017 have 5ghz wifi it s a big comedy,no 5ghz wifi band,no 5ghz wifi band on this mobile miserable in 2021 even my previous mobile of samsung which i bought in 2017 have 5ghz wifi it s a big comedy,"['no', '5ghz', 'wifi', 'band']","['no', '5ghz', 'wifi', 'band', 'on', 'this', 'mobile', 'miserable', 'in', '2021', 'even', 'my', 'previous', 'mobile', 'of', 'samsung', 'which', 'i', 'bought', 'in', '2017', 'have', '5ghz', 'wifi', 'it', 's', 'a', 'big', 'comedy']",en,Single,No
Cheated,Don't received  handset ejection  pin  and manual.,1,cheated,don t received handset ejection pin and manual,cheated don t received handset ejection pin and manual,cheated,don t received handset ejection pin and manual,['cheated'],"['don', 't', 'received', 'handset', 'ejection', 'pin', 'and', 'manual']",en,Single,No
Dont buy samsung m12 mobile,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,1,dont buy samsung m12 mobile,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and amazon,dont buy samsung m12 mobile very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and amazon,dont buy samsung m12 mobile,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and amazon,"['dont', 'buy', 'samsung', 'm12', 'mobile']","['very', 'poor', 'build', 'qualityvery', 'poor', 'camera', 'piclow', 'quality', 'phoneno', 'return', 'policyvery', 'worst', 'mobilejust', 'making', 'fool', 'to', 'customer', 'by', 'samsung', 'm12', 'and', 'amazon']",en,Single,No
Good one in this price segment.,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,5,good one in this price segment,just unboxed the phone seems to be a better one in this price segment as of now just checked with the camera voice it seems good but one thing it s very heavy in weight may be due to battery hope samsung lives upto expectation,good one in this price segment just unboxed the phone seems to be a better one in this price segment as of now just checked with the camera voice it seems good but one thing it s very heavy in weight may be due to battery hope samsung lives upto expectation,good one in this price segment,just unboxed the phone seems to be a better one in this price segment as of now just checked with the camera voice it seems good but one thing it s very heavy in weight may be due to battery hope samsung lives upto expectation,"['good', 'one', 'in', 'this', 'price', 'segment']","['just', 'unboxed', 'the', 'phone', 'seems', 'to', 'be', 'a', 'better', 'one', 'in', 'this', 'price', 'segment', 'as', 'of', 'now', 'just', 'checked', 'with', 'the', 'camera', 'voice', 'it', 'seems', 'good', 'but', 'one', 'thing', 'it', 's', 'very', 'heavy', 'in', 'weight', 'may', 'be', 'due', 'to', 'battery', 'hope', 'samsung', 'lives', 'upto', 'expectation']",en,Single,No
Hitting issue,Hitting issue,1,hitting issue,hitting issue,hitting issue hitting issue,hitting issue,hitting issue,"['hitting', 'issue']","['hitting', 'issue']",en,Single,No
Worst product with cheap quality material.,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,1,worst product with cheap quality material,worst product and low quality never expected this kind of product from samsung even though it s having high end config it doesn t look that way camera utterly disappointed never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return refund option according to return policy only replacement that disappoints even more advising don t waste money on this product,worst product with cheap quality material worst product and low quality never expected this kind of product from samsung even though it s having high end config it doesn t look that way camera utterly disappointed never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return refund option according to return policy only replacement that disappoints even more advising don t waste money on this product,worst product with cheap quality material,worst product and low quality never expected this kind of product from samsung even though it s having high end config it doesn t look that way camera utterly disappointed never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return refund option according to return policy only replacement that disappoints even more advising don t waste money on this product,"['worst', 'product', 'with', 'cheap', 'quality', 'material']","['worst', 'product', 'and', 'low', 'quality', 'never', 'expected', 'this', 'kind', 'of', 'product', 'from', 'samsung', 'even', 'though', 'it', 's', 'having', 'high', 'end', 'config', 'it', 'doesn', 't', 'look', 'that', 'way', 'camera', 'utterly', 'disappointed', 'never', 'seen', 'this', 'kind', 'of', 'mobile', 'in', 'the', 'recent', 'past', 'and', 'more', 'over', 'if', 'you', 'buy', 'this', 'product', 'you', 'have', 'to', 'bare', 'with', 'it', 'because', 'no', 'return', 'refund', 'option', 'according', 'to', 'return', 'policy', 'only', 'replacement', 'that', 'disappoints', 'even', 'more', 'advising', 'don', 't', 'waste', 'money', 'on', 'this', 'product']",en,Single,No
